Stock,totalDifference,Start,End
AAIC,-1.440000057220459,5.539999961853027,4.099999904632568
AAL,-7.370000839233398,29.09000015258789,21.719999313354492
AAOI,-5.090000152587891,12.5,7.409999847412109
AAT,-9.930000305175781,44.97999954223633,35.04999923706055
ABCL,-32.25000190734863,58.900001525878906,26.649999618530273
ABEO,-1.440000057220459,3.2100000381469727,1.7699999809265137
ABEV,-1.9500000476837158,4.730000019073486,2.7799999713897705
ABIO,-2.239999771118164,5.679999828338623,3.440000057220459
AC,-3.5635337829589844,39.29353332519531,35.72999954223633
ACAC,-0.25,10.25,10.0
ACACW,-0.2600001096725464,2.1600000858306885,1.899999976158142
ACAD,-20.55000114440918,41.11000061035156,20.559999465942383
ACB,-15.300000190734863,24.239999771118164,8.9399995803833
ACC,-0.8800010681152344,46.09000015258789,45.209999084472656
ACCO,-0.5299997329711914,9.109999656677246,8.579999923706055
ACER,-0.869999885559082,3.7899999618530273,2.9200000762939453
ACGL,-3.69000244140625,43.400001525878906,39.709999084472656
ACGLO,-0.12999916076660156,26.219999313354492,26.09000015258789
ACGLP,-0.35000038146972656,25.739999771118164,25.389999389648438
ACIC,-0.030000686645507812,9.970000267028809,9.9399995803833
ACIU,-1.8999996185302734,8.65999984741211,6.760000228881836
ACIW,-0.4200019836425781,38.20000076293945,37.779998779296875
ACKIT,-0.22999954223632812,10.199999809265137,9.970000267028809
ACNB,-9.509998321533203,37.0099983215332,27.5
ACOR,-6.5400004386901855,11.760000228881836,5.21999979019165
ACRE,-0.8999996185302734,15.65999984741211,14.760000228881836
ACRX,-0.7699999809265137,2.069999933242798,1.2999999523162842
ACST,-1.8870001137256622,2.380000114440918,0.49300000071525574
ADCT,-5.459999084472656,30.0,24.540000915527344
ADERU,-0.4700002670288086,10.550000190734863,10.079999923706055
ADES,-5.7300004959106445,10.430000305175781,4.699999809265137
ADFI,-0.2957000732421875,9.980999946594238,9.68529987335205
ADIL,-0.24000000953674316,2.440000057220459,2.200000047683716
ADMA,-1.9749999046325684,3.934999942779541,1.9600000381469727
ADTX,-2.200000047683716,5.059999942779541,2.859999895095825
ADVM,-7.839999675750732,11.739999771118164,3.9000000953674316
ADXN,-1.5299997329711914,11.300000190734863,9.770000457763672
ADXS,-0.601000040769577,1.090000033378601,0.48899999260902405
AE,-12.439998626708984,38.939998626708984,26.5
AEACU,-0.3100004196166992,10.380000114440918,10.069999694824219
AEG,-0.009999752044677734,4.599999904632568,4.590000152587891
AENZ,-0.28999996185302734,1.8799999952316284,1.590000033378601
AEP,-4.75,93.45999908447266,88.70999908447266
AER,-3.4199981689453125,61.66999816894531,58.25
AERI,-6.670000076293945,23.799999237060547,17.1299991607666
AEY,-0.38000011444091797,2.4000000953674316,2.0199999809265137
AFC,-1.3899993896484375,26.709999084472656,25.31999969482422
AFIB,-12.850000381469727,26.5,13.649999618530273
AFIN,-2.75,12.760000228881836,10.010000228881836
AFRM,-26.73999786376953,97.23999786376953,70.5
AFYA,-5.170000076293945,27.579999923706055,22.40999984741211
AGBAU,-0.3100004196166992,10.300000190734863,9.989999771118164
AGCB,-2.4300003051757812,13.25,10.819999694824219
AGE,-0.5700000524520874,1.9500000476837158,1.3799999952316284
AGEN,-0.9500000476837158,4.039999961853027,3.0899999141693115
AGFS,-0.630000114440918,2.75,2.119999885559082
AGFY,-1.9399995803833008,12.739999771118164,10.800000190734863
AGMH,-3.489999771118164,16.139999389648438,12.649999618530273
AGNCM,-0.5599994659423828,25.889999389648438,25.329999923706055
AGNCN,-0.37000083923339844,26.100000381469727,25.729999542236328
AGNCO,-0.7699985504150391,25.799999237060547,25.030000686645508
AGNCP,-0.9599990844726562,24.979999542236328,24.020000457763672
AGRX,-1.1200000047683716,2.9700000286102295,1.850000023841858
AGS,-3.1700000762939453,12.119999885559082,8.949999809265137
AHC,-0.8299999237060547,2.8299999237060547,2.0
AHH,-4.329998970031738,17.959999084472656,13.630000114440918
AHT,-24.059999227523804,26.799999237060547,2.740000009536743
AI,-26.229995727539062,92.48999786376953,66.26000213623047
AIG,-3.30999755859375,51.7599983215332,48.45000076293945
AIKI,-0.3700000047683716,1.399999976158142,1.0299999713897705
AINC,-14.929999351501465,23.799999237060547,8.869999885559082
AINV,-3.09999942779541,17.6299991607666,14.529999732971191
AIR,-5.509998321533203,45.75,40.2400016784668
AIRI,-1.029999852180481,2.3499999046325684,1.3200000524520874
AIZN,-0.6479988098144531,26.937999725341797,26.290000915527344
AIZP,-2.2300033569335938,129.75,127.5199966430664
AJAX,-1.3299999237060547,11.300000190734863,9.970000267028809
AJRD,-0.14999771118164062,46.869998931884766,46.720001220703125
AJX,-2.5,14.710000038146973,12.210000038146973
AJXA,-1.1300010681152344,26.6200008392334,25.489999771118164
AKBA,-3.1500000953674316,6.340000152587891,3.190000057220459
AKER,-1.782599925994873,6.722599983215332,4.940000057220459
AKICU,-0.34999942779541016,10.399999618530273,10.050000190734863
AKR,-4.420000076293945,25.309999465942383,20.889999389648438
